id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM),SMILES
474,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7=C(C6)N=CC=C7)CC5)=NC4=C3F)=C12,,1.99,56.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6Cc7cccnc7C6)CC5)nc4c3F)c12
475,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6(CC(O)C6)C5)CC4)=NC3=C1F)=CC(O)=C2,,0.975,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CC(O)C7)C6)CC5)nc4c3F)c12
476,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(COC7)C6)CC5)=NC4=C3F)=C12,,2.27,19.8,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(COC7)C6)CC5)nc4c3F)c12
477,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6(CCC6)C5)CC4)=NC3=C1F)=CC(O)=C2,,1.33,39.2,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCC7)C6)CC5)nc4c3F)c12
478,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC(OC)C5)CC4)=NC3=C1F)=CC(O)=C2,,1.94,13.5,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC(OC)C6)CC5)nc4c3F)c12
479,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCOCC7)C6)CC5)=NC4=C3F)=C12,,1.39,6.95,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCOCC7)C6)CC5)nc4c3F)c12
480,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CC5=CC=CC=N5)CC4)=NC3=C1F)=CC(O)=C2,,>100,,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(Cc6ccccn6)CC5)nc4c3F)c12
481,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7COCC7C6)CC5)=NC4=C3F)=C12,,1.26,2.48,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7COCC7C6)CC5)nc4c3F)c12
482,C#CC1=CC=CC2=C1C(C1=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CCCC6C5)CC4)=NC3=C1F)=CC(O)=C2,,1.48,14.7,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CCCC7C6)CC5)nc4c3F)c12
483,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(O)C6)CC5)NC4=C3F)=C12,,2.58,56.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(c3F)NC(OCC3(CN5CC(O)C5)CC3)N=C4N3CC4CCC(C3)N4)c12
484,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(OC)C6)CC5)=NC4=C3F)=C12,,9.61,19.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC(C)(OC)C6)CC5)nc4c3F)c12
485,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7)CC5)=NC4=C3F)=C12,,1.76,26.2,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CC6)CC7)CC5)nc4c3F)c12
486,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(O)C6)CC5)=NC4=C3F)=C12,,3.5,25,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC(C)(O)C6)CC5)nc4c3F)c12
487,C#CC1=CC=CC2=CC(O)=CC(C3=CC=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7)CC5)=NC4=C3F)=C12,,28.6,31.5,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CC6)CC7)CC5)nc4c3F)c12
488,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC(OC)C5)CC4)=NC3=C1F)=CC(O)=C2,,23.2,13.4,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC(OC)C6)CC5)nc4c3F)c12
489,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CCCC6C5)CC4)=NC3=C1F)=CC(O)=C2,,35.5,34.8,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CCCC7C6)CC5)nc4c3F)c12
490,C#CC1=CC=CC2=CC(O)=CC(C3=CC=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(OC)C6)CC5)=NC4=C3F)=C12,,31.6,12.8,C#Cc1cccc2cc(O)cc(-c3ccc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC(C)(OC)C6)CC5)nc4c3F)c12
491,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCCCO7)C6)CC5)=NC4=C3F)=C12,,3.07,38.9,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CCCCO7)C6)CC5)nc4c3F)c12
492,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCOCC67CCC7)CC5)=NC4=C3F)=C12,,2.17,20.2,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCOCC67CCC7)CC5)nc4c3F)c12
493,[H]N1C2CCC1CN(C1=NC(OCC3(CN4CC5CC4CO5)CC3)=NC3=C(F)C(C4=C5C(C#C)=CC=CC5=CC(O)=C4)=C(F)C=C13)C2,,2.1,3.07,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CC6CO7)CC5)nc4c3F)c12
494,OC1=CC2=C(C=CC=C2)C(C2=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CCCOCC5)CC4)=NC3=C2F)=C1,,4.36,10.9,Oc1cc(-c2c(F)cc3c(N4CC5CCC(C4)N5)nc(OCC4(CN5CCCOCC5)CC4)nc3c2F)c2ccccc2c1
495,C#CC1=C(F)C=CC2=C1C(C1=C(F)C3=NC(OCC4(CN5CC6CC5CO6)CC4)=NC(N4CC5CC(C4)N5)=C3C=C1C(C)C)=CC(O)=C2,,1.15,,C#Cc1c(F)ccc2cc(O)cc(-c3c(C(C)C)cc4c(N5CC6CC(C5)N6)nc(OCC5(CN6CC7CC6CO7)CC5)nc4c3F)c12
496,C#CC1=C(F)C=CC2=C1C(C1C(F)=C3N=C(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)N=C(N4CC5CCC(C4)N5)C3=CC1C(F)(F)F)=CC(O)=C2,,1.29,,C#Cc1c(F)ccc2cc(O)cc(C3C(F)=c4nc(OCC5(CN6C[C@@H]7C[C@H]6CO7)CC5)nc(N5CC6CCC(C5)N6)c4=CC3C(F)(F)F)c12
497,C#CC1=C(F)C=CC2=C1C(C1=C(C#N)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CC5CO6)CC4)=NC3=C1F)=CC(O)=C2,,1.04,,C#Cc1c(F)ccc2cc(O)cc(-c3c(C#N)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7CC6CO7)CC5)nc4c3F)c12
498,C#CC1=C(F)C=CC2=C1C(C1=C(SC(F)(F)F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)=NC3=C1F)=CC(O)=C2,,0.97,,C#Cc1c(F)ccc2cc(O)cc(-c3c(SC(F)(F)F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C[C@@H]7C[C@H]6CO7)CC5)nc4c3F)c12
499,CCC1=C(F)C=CC2=C1C(C1=C(C(F)(F)F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)=NC3=C1F)=CC(O)=C2,,4.64,,CCc1c(F)ccc2cc(O)cc(-c3c(C(F)(F)F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C[C@@H]7C[C@H]6CO7)CC5)nc4c3F)c12
500,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1F)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5(CCCO5)C4)CC1)=N3)=CC(O)=C2,,35.7,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCCO7)C6)CC5)nc4c3F)c12
501,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCOC7)C6)CC5)=NC4=C3F)=C12,,26.4,125,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CCOC7)C6)CC5)nc4c3F)c12
502,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCOC7)C6)CC5)=NC4=C3F)=C12,,5.92,23.1,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCOC7)C6)CC5)nc4c3F)c12
503,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCCO7)C6)CC5)=NC4=C3F)=C12,,2.58,31.4,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CCCO7)C6)CC5)nc4c3F)c12
504,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCCCO7)C6)CC5)=NC4=C3F)=C12,,1.49,38.6,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCCCO7)C6)CC5)nc4c3F)c12
505,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(CC(OC)C9)C8)=NC4=C3F)F)=C12,,3.95,46.4,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CC(OC)C7)C6)CC5)nc4c3F)c12
506,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9C(OCCO9)C8)=NC4=C3F)F)=C12,,1.39,9.39,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7OCCOC7C6)CC5)nc4c3F)c12
507,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN(C8C9)C(CC8)CC9=O)=NC4=C3F)F)=C12,,1.26,12.1,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C7CCC6CC(=O)C7)CC5)nc4c3F)c12
508,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC(C=CS9)=C9CC8)=NC4=C3F)F)=C12,,4.26,271,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCc7sccc7C6)CC5)nc4c3F)c12
509,C#CC1=CC=CC2=CC(O)=C[C@]([C@]3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9=CN=CN9CC8)=NC4=C3F)F)=C12,,2.59,80.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCn7cncc7C6)CC5)nc4c3F)c12
510,C#CC1=CC=CC2=CC(O)=C[C@]([C@]3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CCOC9(COC9)C8)=NC4=C3F)F)=C12,,>100,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCOC7(COC7)C6)CC5)nc4c3F)c12
511,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(CCOCC9)CC8)=NC4=C3F)F)=C12,,1.37,5.39,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CCC7(CCOCC7)C6)CC5)nc4c3F)c12
512,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(OCC9)C8)=NC4=C3F)F)=C12,,2.05,7.66,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC7(CCO7)C6)CC5)nc4c3F)c12
513,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8C9COCC8C9)=NC4=C3F)F)=C12,,6.81,46.3,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6C7COCC6C7)CC5)nc4c3F)c12
514,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC(C=CC=C9)=C9C8)=NC4=C3F)F)=C12,,2.04,,C#Cc1cccc2cc(O)cc(-c3c(F)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6Cc7ccccc7C6)CC5)nc4c3F)c12
515,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc4cnccc4)c3n2)CCC1,,7,8391,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3cccnc3)c(-c3cc(O)cc4ccccc34)cc2n1
516,CC(C1)NCCN1c1c(ccc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCC2(CCC3)N3CCC2)n1,8,6.1,4545,CC1CN(c2nc(OCC34CCCN3CCC4)nc3c(F)c(-c4cccc5cccc(Cl)c45)ccc23)CCN1
517,Oc1cc2ccccc2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,>1000000,0.5,95,Oc1cc(-c2ccc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2ccccc2c1
518,Oc1cc(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c2c(Cl)cccc2c1,,0.7,21,Oc1cc(-c2ccc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)cccc2c1
519,Oc1cc(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(CCC3)(C4)N3C[C@@H]4F)c2F)c2c(Cl)cccc2c1,,1.4,42,Oc1cc(-c2ccc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1
520,Oc1cccc(F)c1-c(c(Cl)cc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,3.5,1800,Oc1cccc(F)c1-c1c(Cl)cc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F
521,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Cl)c3n2)CCC1,9,11.2,1417,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Cl)c(-c3cc(O)cc4ccccc34)c(F)c2n1
522,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,3,4.3,271,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1
523,CN1[C@H](COc(nc(c2ccc3-c4cc(O)cc5ccccc45)N4CCN(CCCl)CC4)nc2c3F)CCC1,,186.7,6786,CN1CCC[C@H]1COc1nc(N2CCN(CCCl)CC2)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1
524,CN1[C@H](COc2nc3cc(-c4cc(O)cc5ccccc45)ccc3c(N3CC(CC4)NC4C3)n2)CCC1,19,22.9,5662,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2ccc(-c3cc(O)cc4ccccc34)cc2n1
525,CN1[C@H](COc2nc(N3CC4(CC4)NCC3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,110,,5556,CN1CCC[C@H]1COc1nc(N2CCNC3(CC3)C2)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1
526,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c(c3c4)cccc3ccc4F)c3F)c3n2)CCC1,78,61.9,5556,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2ccc(-c3cccc4ccc(F)cc34)c(F)c2n1
527,CN1[C@H](COc2nc(N3C(CC4)CNC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,36,30.8,8607,CN1CCC[C@H]1COc1nc(N2CC3CCC2CN3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1
528,CN1[C@H](COc2nc(N3C(CC4)CNC4C3)c(CCN(C3)c4cc(O)cc5ccccc45)c3n2)CCC1,300,152.5,5948,CN1CCC[C@H]1COc1nc2c(c(N3CC4CCC3CN4)n1)CCN(c1cc(O)cc3ccccc13)C2
529,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cc(cc4)OC)c4F)c3n2)CCC1,,8.0,5556,COc1ccc(F)c(Oc2cc3c(N4CC5CCC(C4)N5)nc(OC[C@@H]4CCCN4C)nc3cc2-c2cc(O)cc3ccccc23)c1
530,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(ccc(OC)c4)c4Cl)c3n2)CCC1,,11.5,1371,COc1ccc(Oc2cc3c(N4CC5CCC(C4)N5)nc(OC[C@@H]4CCCN4C)nc3cc2-c2cc(O)cc3ccccc23)c(Cl)c1
531,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cccc4)c4Cl)c3n2)CCC1,,1.3,1705,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3ccccc3Cl)c(-c3cc(O)cc4ccccc34)cc2n1
532,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cccc4)c4C#N)c3n2)CCC1,,1.6,2156,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)cc2n1
533,N#Cc(cccc1)c1Oc(c(-c1cc(O)cc2ccccc12)cc1n2)cc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,1,1269,N#Cc1ccccc1Oc1cc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2cc1-c1cc(O)cc2ccccc12
534,N#Cc(cccc1)c1Oc(cc1c(N2CC(CC3)NC3C2)nc(OC[C@](CCC2)(C3)N2C[C@@H]3F)nc1c1)c1-c1cc(O)cc2ccccc12,,1.7,140,N#Cc1ccccc1Oc1cc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2cc1-c1cc(O)cc2ccccc12
535,Oc1cc(-c2cc3nc(OCC(CCC4)(C5)N4C[C@@H]5F)nc(N4CC(CC5)NC5C4)c3cc2Oc(cccc2)c2Cl)c2c(Cl)cccc2c1,,6.6,264,Oc1cc(-c2cc3nc(OCC45CCCN4C[C@H](F)C5)nc(N4CC5CCC(C4)N5)c3cc2Oc2ccccc2Cl)c2c(Cl)cccc2c1
536,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(cccc4)c4C#N)c3n2)CCC1,,1.4,377,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)c(F)c2n1
537,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(c(C#N)ccc4)c4Cl)c3n2)CCC1,,5.3,784,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3c(Cl)cccc3C#N)c(-c3cc(O)cc4ccccc34)c(F)c2n1
538,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(cccc4F)c4C#N)c3n2)CCC1,,7.4,3541,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cc(Oc3cccc(F)c3C#N)c(-c3cc(O)cc4ccccc34)c(F)c2n1
539,N#Cc(cccc1)c1Oc(c(-c1cc(O)cc2ccccc12)c(c1n2)F)cc1c(N1CC(CC3)NC3C1)nc2OCC(CCC1)(C2)N1C[C@@H]2F,,3.6,44,N#Cc1ccccc1Oc1cc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3C[C@H](F)C4)nc2c(F)c1-c1cc(O)cc2ccccc12
540,Oc1cc2ccccc2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(CCC3)(C4)N3C[C@@H]4F)c2F)c1,,0.6,171,Oc1cc(-c2ccc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)c2ccccc2c1
541,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1F,5,1.8,779,CN1C[C@H](F)C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1
542,Cc1cc([nH]nc2)c2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@H]3N(C)CCC3)c2F)c1C,152,57,5093,Cc1cc2[nH]ncc2c(-c2ccc3c(N4CC5CCC(C4)N5)nc(OC[C@@H]4CCCN4C)nc3c2F)c1C
543,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CC1(F)F,121,296.7,8501,CN1CC(F)(F)C[C@H]1COc1nc(N2CC3CCC(C2)N3)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1
544,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3CC(CC4)NC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,2.5,45,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5CCC(C4)N5)c3CO2)c1C(F)(F)F
545,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3CC(C4)NC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,23,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5CC(C4)N5)c3CO2)c1C(F)(F)F
546,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N(C3)C4C3NCC4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,425,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5NCCC54)c3CO2)c1C(F)(F)F
547,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3C4CNCC3CC4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,12.7,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C5CCC4CNC5)c3CO2)c1C(F)(F)F
548,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3C(CC4)CNC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,30,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5CCC4CN5)c3CO2)c1C(F)(F)F
549,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N(C3)CC4NC3C=C4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,0.1,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5C=CC(C4)N5)c3CO2)c1C(F)(F)F
550,Oc1cc2ccccc2c(C(Cc2n3)OCc2c(N2CC(CC4)NC4C2)nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)c1,,78.3,,Oc1cc(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5CCC(C4)N5)c3CO2)c2ccccc2c1
551,CC(C(c1c(C(F)(F)F)c(C)cc(N)c1F)OC1)c2c1c(N1CC(CC3)NC3C1)nc(OC[C@](CCC1)(C3)N1C[C@@H]3F)n2,,1.1,,Cc1cc(N)c(F)c(C2OCc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3N3CC4CCC(C3)N4)C2C)c1C(F)(F)F
552,CC(c(c(N1CC(CC2)NC2C1)n1)c(C2)nc1OC[C@](CCC1)(C3)N1C[C@@H]3F)OC2c1c(C(F)(F)F)c(C)cc(N)c1F,,3.3,,Cc1cc(N)c(F)c(C2Cc3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4CC5CCC(C4)N5)c3C(C)O2)c1C(F)(F)F
